0 0 14
1 0 24
2 0 30
3 0 50
4 0 52
5 0 28
6 0 16
7 0 20
8 0 10
9 0 2
10 2 10
23 4 26
12 0 10
13 0 16
14 0 22
15 2 36
144 4 0
785 12 0
18 2 22
403 4 0
5908 60 22
21 10 30
22 0 28
535 8 0
24 10 26
25 0 30
26 0 34
27 4 26
28 2 16
29 8 4
30 6 8
31 2 12
32 2 10
33 0 12
35 0 2
36 4 6
653 8 10
39 0 2
811 26 2
5803 64 58
172 2 0
520 6 2
562 10 4
627 10 4
1846 22 0
567 4 4
442 12 0
415 2 4
11 0 4
583 2 10
712 16 0
587 8 4
591 0 4
983 66 0
472 4 4
92 2 0
222 6 0
16 0 30
516 10 0
17 2 28
625 4 4
19 2 20
502 10 6
20 6 48
